TLFS_00_05   ;   Tempo : 00:00:00   ;   Registros : 90   ;   ORM
TCEF_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TMFC_00_06   ;   Tempo : 00:00:00   ;   Registros : 88   ;   ORM
TNCM_00   ;   Tempo : 00:00:00   ;   Registros : 3   ;   ORM
TOMF_00_06_01   ;   Tempo : 00:00:19   ;   Registros : 2148   ;   ORM
TPRO_00_04   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPRZ_00   ;   Tempo : 00:00:00   ;   Registros : 3   ;   ORM
TRPA_00_02   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TSCP_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TVEF_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TVEI_00_02   ;   Tempo : 00:00:00   ;   Registros : 3   ;   ORM
TLIB_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TRFC_00_04   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TFSP_00   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TLCZ_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPRO_00_01   ;   Tempo : 00:00:30   ;   Registros : 8259   ;   ORM
TSCR_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPRT_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TNFE_00_06   ;   Tempo : 00:00:13   ;   Registros : 3518   ;   ORM
TCONFIG_00   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TCTA_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TLFS_00_01_02   ;   Tempo : 00:00:01   ;   Registros : 892   ;   CopyDataSet
TCRE_00_02   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TACT_XX   ;   Tempo : 00:00:00   ;   Registros : 19   ;   ORM
TOMF_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TAQT_00   ;   Tempo : 00:00:00   ;   Registros : 25   ;   ORM
TCCU_00   ;   Tempo : 00:00:01   ;   Registros : 301   ;   ORM
TPPC_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPRZ_00_02   ;   Tempo : 00:00:00   ;   Registros : 9   ;   ORM
TREQ_00_02_01   ;   Tempo : 00:00:00   ;   Registros : 118   ;   ORM
TNFE_00_03   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TRFC_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCRE_00_02_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TLEE_00   ;   Tempo : 00:00:00   ;   Registros : 2   ;   ORM
TSCR_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TPVD_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCTR_00_03   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TDRQ_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TSFH_00   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TVEF_00   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCGA_00_01   ;   Tempo : 00:00:00   ;   Registros : 0   ;   CopyDataSet
TSCR_00_04   ;   Tempo : 00:00:00   ;   Registros : 0   ;   ORM
TCMP_00   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
TCONFIG_00_01   ;   Tempo : 00:00:00   ;   Registros : 1   ;   ORM
